Card,Card Number,Suit,Upright Meaning,Reversed Meaning,Image
2 of Cups,2,Cups,"romance, friendship, cooperation","violent passion, misunderstanding",image 52
3 of Cups,3,Cups,"fortune, hospitality, discovery","hidden, overindulgence, pain, gossip",image 53
4 of Cups,4,Cups,"dissatisfaction, kindness, reevaluation, redemption","new goals, ambitions, beginning",image 54
5 of Cups,5,Cups,"broken marriage,vain regret, sorrow, loss","return, summon, hope",image 55
6 of Cups,6,Cups,"acquaintance, good memories, acquaintance, happiness","friendship, disappointment, past",image 56
7 of Cups,7,Cups,"imagination, illusion, directionless","will-power, determination",image 57
8 of Cups,8,Cups,"disappointment, abandonment, misery","pleasure, success, joy",image 58
9 of Cups,9,Cups,"physical well-being, hopes, security","illness, failure, overindulgence",image 59
10 of Cups,10,Cups,"friendship, happiness, life","waste, broken relationships, quarrel",image 60
Page of Cups,11,Cups,"sweetness, interest in literature, gentleness","poor imagination, selfishness, no desires",image 61
Knight of Cups,12,Cups,"emotional, romantic dreamer, intelligence","idleness, untruthful, fraud, sensuality",image 62
Queen of Cups,13,Cups,"loving mother, gentle, happiness","perverse, unhappy, gloom, over-active imagination",image 63
King of Cups,14,Cups,"kindness, willingness, enjoyment","double-dealer, scandal, crafty, violent",image 64
Ace of Pentacles,1,Pentacles,"prosperity, happiness, pleasure","misery, greedy, money",image 65
2 of Pentacles,2,Pentacles,"harmony, new projects, helpful","difficulty, discouragement",image 66
3 of Pentacles,3,Pentacles,"abilities, approval,effort, abilities","preoccupation, ambitions",image 67
4 of Pentacles,4,Pentacles,"ungenerous, greed, miserly","spendthrift, obstacles, earthy possessions",image 68
5 of Pentacles,5,Pentacles,"destitution, poor health, despair, loneliness","employment, courage, revival",image 69
6 of Pentacles,6,Pentacles,"prosperity, philanthropy, charity, gifts","jealousy, miserliness, unfairness",image 70
7 of Pentacles,7,Pentacles,"development, re-evaluation, effort, hard work","impatience, slow progress, investments",image 71
8 of Pentacles,8,Pentacles,"employment, money, learning, trade","void, no ambition, dislike",image 72
9 of Pentacles,9,Pentacles,"solitude, well-being, green thumb","caution, possible loss",image 73
10 of Pentacles,10,Pentacles,"wealth, property, stability","dull, slothfulness, misfortune",image 74
Page of Pentacles,11,Pentacles,"kindness,new ideas/opinions, scholar","luxury, rebellious, bad news",image 75
Knight of Pentacles,12,Pentacles,"dull outlook, patience, animal lover, trustworthy","carelessness, standstill, irresponsible",image 76
Queen of Pentacles,13,Pentacles,"thoughtfulness, intelligence, talents, melancholy","mistrust, suspicion, neglect",image 77
King of Pentacles,14,Pentacles,"reliable person, steadiness","bribes, materialistic, calm",image 78
